id,name,kind,url,source_file,output_file,original_width,original_height,low_width,low_height,output_width,output_height,engine,colors,max_side,scale,status,error
67524464-74a5-4718-9f39-41153ad1f501,'Ardmob Weirdboy,banner,https://d3ocysny7bghv8.cloudfront.net/4e3bd5f1-1b96-4ccc-8537-27e144e9ba38,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/ardmob-weirdboy__67524464__banner.png,,,96,47,384,188,sips,16,96,4,ok,
7a2d34de-4d07-43a2-928a-2be9dfdc47a7,AX-1-0 Tiger Shark,banner,https://d3ocysny7bghv8.cloudfront.net/97aef45a-0a70-4b54-ba5f-82c5966517d5,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/ax-1-0-tiger-shark__7a2d34de__banner.png,,,96,47,384,188,sips,16,96,4,ok,
6b2f238d-de10-4a32-ada7-f048040b7dd5,Abaddon the Despoiler,banner,https://d3ocysny7bghv8.cloudfront.net/65ff1c8d-f04d-4114-95d6-9a13582b38f5,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/abaddon-the-despoiler__6b2f238d__banner.png,,,,,,,,16,96,4,exists,
e2a611b2-4381-4b71-a7b5-799af3b7bd72,Aberrants,banner,https://d3ocysny7bghv8.cloudfront.net/b19eaacd-53ff-4bd9-8325-dcb301268b09,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/aberrants__e2a611b2__banner.png,,,96,47,384,188,sips,16,96,4,ok,
7ccee872-0efc-4317-ba1b-2b29a07a86db,Abominant,banner,https://d3ocysny7bghv8.cloudfront.net/6c18e7eb-a74a-46a4-b189-15fbba08c167,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/abominant__7ccee872__banner.png,,,96,47,384,188,sips,16,96,4,ok,
d41ac81a-2383-43a9-b49f-171452b52754,Acastus Knight Asterius,banner,https://d3ocysny7bghv8.cloudfront.net/07110a42-b3ad-4da9-8b2b-431c5aaa5aa3,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/acastus-knight-asterius__d41ac81a__banner.png,,,96,47,384,188,sips,16,96,4,ok,
685b7218-f701-4101-9e15-c7d1047dc65f,Acastus Knight Porphyrion,banner,https://d3ocysny7bghv8.cloudfront.net/342388c5-eb0a-4809-9f05-782268b51d93,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/acastus-knight-porphyrion__685b7218__banner.png,,,96,47,384,188,sips,16,96,4,ok,
48e2f7a2-ff71-4f14-bf01-c9c00a8b9fdd,Accursed Cultists,banner,https://d3ocysny7bghv8.cloudfront.net/b626cad5-185d-48b6-a1e1-34cc3c9f9c98,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/accursed-cultists__48e2f7a2__banner.png,,,96,47,384,188,sips,16,96,4,ok,
86e6278b-8ff0-40f0-abe3-d697e007024a,Achilles Ridgerunners,banner,https://d3ocysny7bghv8.cloudfront.net/61b22226-3c87-485b-9100-87a3c89ec342,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/achilles-ridgerunners__86e6278b__banner.png,,,96,47,384,188,sips,16,96,4,ok,
e0ae13f2-e9be-4ce6-bdc0-e5c30c83ec18,Acolyte Hybrids with Autopistols,banner,https://d3ocysny7bghv8.cloudfront.net/b2138335-6cd1-453f-9263-b448b70d953c,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/acolyte-hybrids-with-autopistols__e0ae13f2__banner.png,,,96,47,384,188,sips,16,96,4,ok,
1451dc1c-a16d-4ba6-9086-d1a9a761bb1c,Acolyte Hybrids with Hand Flamers,banner,https://d3ocysny7bghv8.cloudfront.net/d0b22f23-507c-471f-ad67-8b5e0f74709c,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/acolyte-hybrids-with-hand-flamers__1451dc1c__banner.png,,,96,47,384,188,sips,16,96,4,ok,
3a688f06-d483-461d-9fa4-46ee39bcd275,Acolyte Iconward,banner,https://d3ocysny7bghv8.cloudfront.net/54d06682-cff8-4b4c-a9b3-2d35f9da0516,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/acolyte-iconward__3a688f06__banner.png,,,96,47,384,188,sips,16,96,4,ok,
9c310043-5651-467f-b623-aa52a974ab9f,Adrax Agatone,banner,https://d3ocysny7bghv8.cloudfront.net/076b1f63-560f-492a-b4fe-925bbc046637,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/adrax-agatone__9c310043__banner.png,,,96,47,384,188,sips,16,96,4,ok,
c220c8f6-cc30-4dcc-a778-be6ce4c929b0,Aegis Defence Line,banner,https://d3ocysny7bghv8.cloudfront.net/42ea87ca-6a53-4ac7-a0ff-f032cc15351a,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/aegis-defence-line__c220c8f6__banner.png,,,96,47,384,188,sips,16,96,4,ok,
85deb9d8-5e41-4f82-bd5b-cefc2507ef99,Aestred Thurga and Agathae Dolan,banner,https://d3ocysny7bghv8.cloudfront.net/fcd6c380-4cad-471d-b825-aa7f5e4c885f,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/aestred-thurga-and-agathae-dolan__85deb9d8__banner.png,,,96,47,384,188,sips,16,96,4,ok,
ca050262-bc18-446d-96c2-827fdbd24173,Aethon Shaan,banner,https://d3ocysny7bghv8.cloudfront.net/10139a00-64ed-4a9d-905c-7b698a5f3656,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/aethon-shaan__ca050262__banner.png,,,96,47,384,188,sips,16,96,4,ok,
5ba22e74-9fdb-485a-9a6f-a0b4be8c83b6,Agamatus Custodians,banner,https://d3ocysny7bghv8.cloudfront.net/4a328402-68da-417b-bdcf-cad61363f329,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/agamatus-custodians__5ba22e74__banner.png,,,96,47,384,188,sips,16,96,4,ok,
f7219f56-0d7e-46f0-bb56-73fc596ee09e,Aggressor Squad,banner,https://d3ocysny7bghv8.cloudfront.net/b91c23a6-45c8-4897-b451-e3ef252c9f13,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/aggressor-squad__f7219f56__banner.png,,,96,47,384,188,sips,16,96,4,ok,
c2e892a2-2af9-48fa-ab84-2010eb1a5151,Ahriman,banner,https://d3ocysny7bghv8.cloudfront.net/3d95a757-2487-402f-a06f-4cd2a94d1aea,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/ahriman__c2e892a2__banner.png,,,96,47,384,188,sips,16,96,4,ok,
bf3e8f52-2e65-4ad8-9131-72184cf9548b,Aleya,banner,https://d3ocysny7bghv8.cloudfront.net/429851fe-c733-49cf-a801-331078b89b33,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/aleya__bf3e8f52__banner.png,,,96,47,384,188,sips,16,96,4,ok,
3a9e87a1-8a5f-4042-bbc5-191daf658762,Allarus Custodians,banner,https://d3ocysny7bghv8.cloudfront.net/0d7e0597-8b75-44f9-985b-61131236c158,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/allarus-custodians__3a9e87a1__banner.png,,,96,47,384,188,sips,16,96,4,ok,
f941e3b8-cc03-4db7-bd99-c83c68cd528f,Amonhotekh's Guard Canoptek Doomstalker,banner,https://d3ocysny7bghv8.cloudfront.net/19671418-7cec-408b-85e2-87cc04b8a4b5,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/amonhotekh-s-guard-canoptek-doomstalker__f941e3b8__banner.png,,,96,47,384,188,sips,16,96,4,ok,
0c8beb7a-9714-4547-82ca-0e5f6276a3af,Amonhotekh's Guard Canoptek Scarab Swarms,banner,https://d3ocysny7bghv8.cloudfront.net/80c87dd4-52e5-4bd1-bf3e-9ad25ca7d188,,/Users/losikov/Pet/HereticSheets/generated/unit_images_90s/images/amonhotekh-s-guard-canoptek-scarab-swarms__0c8beb7a__banner.png,,,96,47,384,188,sips,16,96,4,ok,
